Timestamp,IR1,IR2,Prediction
18405,1,1,0
19427,1,1,0
20449,1,1,0
21471,1,1,0
22493,1,1,0
23515,1,1,0
24537,1,1,0
25559,1,0,1
26580,1,0,1
27602,1,0,1
28624,1,1,0
29646,1,1,0
30668,1,1,0
31690,1,1,0
32712,1,1,0
33734,1,1,0
34756,0,1,1
35778,0,1,1
36800,0,1,1
37822,0,1,1
38844,0,1,1
39866,0,1,1
41096,0,1,1
42117,1,1,0
43338,1,1,0
44360,1,1,0
45381,1,1,0
46402,1,0,1
47424,1,0,1
48445,1,1,0
49467,1,1,0
50488,1,1,0
51509,0,1,1
52531,1,1,0
53552,1,1,0
54574,1,0,1
55595,1,0,1
56615,1,0,1
57637,1,0,1
58658,1,0,1
59680,1,0,1
60860,1,0,1
61882,1,1,0
63052,1,1,0
64073,0,1,1
65095,0,1,1
66116,0,1,1
67137,0,1,1
68159,0,1,1
69180,0,1,1
70361,0,1,1
71382,1,1,0
72552,1,1,0
73574,1,1,0
74595,1,1,0
75616,1,1,0
76638,1,1,0
77659,1,1,0
78681,1,1,0
79702,1,1,0
80722,1,1,0
81744,1,1,0
